cell,rho_target,mean_ia_ns,work_npu_ns,unit_span
bw_heavy_large,0.85,38962052.581401,16226928306496,119.623255000
bw_light_large,0.15,237146047.024275,17703531280448,121.504624000
bw_heavy_small,0.85,4841745.197902,2045493507888,121.343719000
bw_light_small,0.15,27436556.121443,2045493507888,121.343719000
lat_heavy_large,0.85,2625114.900115,1103990421344,120.791984000
lat_light_large,0.15,19480449.942803,1454263139728,121.504624000
lat_heavy_small,0.85,39336.180744,16618367768,121.343719000
lat_light_small,0.15,222905.024218,16618367768,121.343719000
bw_heavy_large,0.85,30490884.714045,,
bw_heavy_small,0.85,3836187.552716,,
lat_heavy_small,0.85,51163.431505,,
