model,shape,size,svc_ns
bw,10x16x10,1600,146728197
bw,10x16x12,1920,147760165
bw,10x16x4,640,145290005
bw,10x16x6,960,144664261
bw,10x16x8,1280,147353941
bw,10x2x10,200,307158846
bw,10x2x12,240,315190814
bw,10x2x2,40,272152568
bw,10x2x4,80,280184536
bw,10x2x6,120,291094910
bw,10x2x8,160,296248472
bw,10x4x14,560,203712387
bw,10x4x16,640,207298901
bw,10x4x2,80,179451696
bw,10x4x4,160,183288895
bw,10x4x6,240,187584515
bw,10x8x10,800,154516514
bw,10x8x12,960,156548482
bw,10x8x14,1120,158580450
bw,10x8x16,1280,161171941
bw,10x8x2,160,146948165
bw,10x8x8,640,153044069
bw,12x16x10,1920,127334021
bw,12x16x4,768,126848190
bw,12x16x6,1152,125603397
bw,12x16x8,1536,128578814
bw,12x2x10,240,273080695
bw,12x2x2,48,252730926
bw,12x2x4,96,257638484
bw,12x2x6,144,262847099
bw,12x2x8,192,268920413
bw,12x4x12,576,168991317
bw,12x4x14,672,172356629
bw,12x4x16,768,175163268
bw,12x4x2,96,151801251
bw,12x4x4,192,155055039
bw,12x8x10,960,132125933
bw,12x8x12,1152,133734707
bw,12x8x14,1344,135377439
bw,12x8x16,1536,138199589
bw,12x8x2,192,126867491
bw,12x8x6,576,128885591
bw,12x8x8,768,131670939
bw,14x16x4,896,103360274
bw,14x16x6,1344,101333222
bw,14x16x8,1792,104852818
bw,14x2x2,56,240137482
bw,14x2x4,112,243899615
bw,14x2x6,168,242864296
bw,14x2x8,224,251373975
bw,14x4x10,560,150397300
bw,14x4x12,672,151098674
bw,14x4x14,784,151800048
bw,14x4x16,896,152962535
bw,14x4x2,112,142844533
bw,14x4x4,224,144813551
bw,14x8x10,1120,115812750
bw,14x8x12,1344,117273294
bw,14x8x14,1568,118733838
bw,14x8x16,1792,121524893
bw,14x8x2,224,111987183
bw,14x8x6,672,112891662
bw,14x8x8,896,116368815
bw,16x16x2,512,87726515
bw,16x16x4,1024,88383507
bw,16x16x6,1536,85624262
bw,16x16x8,2048,89697491
bw,16x2x16,512,211049841
bw,16x2x2,64,231067150
bw,16x2x4,128,234326433
bw,16x2x6,192,229597372
bw,16x2x8,256,240499429
bw,16x4x10,640,133665126
bw,16x4x12,768,130781864
bw,16x4x14,896,127898602
bw,16x4x16,1024,127196283
bw,16x4x2,128,130503421
bw,16x4x4,256,132029835
bw,16x4x8,512,134965732
bw,16x8x10,1280,92176687
bw,16x8x12,1536,93083435
bw,16x8x14,1792,93990183
bw,16x8x16,2048,97074138
bw,16x8x2,256,91796135
bw,16x8x4,512,92810539
bw,16x8x6,768,90600031
bw,16x8x8,1024,94855495
bw,1x1x1,1,3205185072
bw,2x16x16,512,533947420
bw,2x16x2,64,498723420
bw,2x16x4,128,503755420
bw,2x16x6,192,510113878
bw,2x16x8,256,513819420
bw,2x2x10,40,1449568704
bw,2x2x12,48,1489600704
bw,2x2x14,56,1529632704
bw,2x2x16,64,1549648704
bw,2x2x2,8,1269424704
bw,2x2x4,16,1309456704
bw,2x2x6,24,1369504704
bw,2x2x8,32,1389520704
bw,2x4x10,80,853629040
bw,2x4x12,96,873661040
bw,2x4x14,112,893693040
bw,2x4x16,128,903709040
bw,2x4x2,16,763485040
bw,2x4x4,32,783517040
bw,2x4x6,48,813565040
bw,2x4x8,64,823581040
bw,2x8x10,160,615231882
bw,2x8x12,192,625263882
bw,2x8x14,224,635295882
bw,2x8x16,256,640311882
bw,2x8x2,32,570087882
bw,2x8x4,64,580119882
bw,2x8x6,96,595167882
bw,2x8x8,128,600183882
bw,4x16x10,640,272079105
bw,4x16x12,768,274611105
bw,4x16x14,896,277143105
bw,4x16x16,1024,280928564
bw,4x16x2,128,263204564
bw,4x16x4,256,265736564
bw,4x16x8,512,270800564
bw,4x2x10,80,732830113
bw,4x2x12,96,752862113
bw,4x2x14,112,772894113
bw,4x2x16,128,782910113
bw,4x2x2,16,642686113
bw,4x2x4,32,662718113
bw,4x2x6,48,692766113
bw,4x2x8,64,702782113
bw,4x4x10,160,431788434
bw,4x4x12,192,441820434
bw,4x4x14,224,451852434
bw,4x4x16,256,456868434
bw,4x4x2,32,386644434
bw,4x4x4,64,396676434
bw,4x4x6,96,411724434
bw,4x4x8,128,416740434
bw,4x8x16,512,328291338
bw,4x8x2,64,293067338
bw,4x8x4,128,298099338
bw,4x8x6,192,304517041
bw,4x8x8,256,308163338
bw,6x16x10,960,224939890
bw,6x16x12,1152,226638546
bw,6x16x14,1344,228337202
bw,6x16x16,1536,231248080
bw,6x16x2,192,219357488
bw,6x16x6,576,221542578
bw,6x16x8,768,224453456
bw,6x2x10,120,507481426
bw,6x2x12,144,520846738
bw,6x2x14,168,534212050
bw,6x2x16,192,540894706
bw,6x2x2,24,447337522
bw,6x2x4,48,460702834
bw,6x2x6,72,480750802
bw,6x2x8,96,487433458
bw,6x4x10,240,315979704
bw,6x4x2,48,286582895
bw,6x4x4,96,293281551
bw,6x4x6,144,302582392
bw,6x4x8,192,306678863
bw,6x8x12,576,248361519
bw,6x8x14,672,251726831
bw,6x8x16,768,255540517
bw,6x8x2,96,231983333
bw,6x8x4,192,235348645
bw,8x16x10,1280,148174224
bw,8x16x12,1536,149456208
bw,8x16x14,1792,150738192
bw,8x16x16,2048,153450130
bw,8x16x2,256,144476242
bw,8x16x4,512,145758226
bw,8x16x6,768,145610256
bw,8x16x8,1024,148322194
bw,8x2x10,160,374977327
bw,8x2x12,192,384768947
bw,8x2x14,224,394767579
bw,8x2x16,256,399750211
bw,8x2x2,32,331624283
bw,8x2x4,64,341208891
bw,8x2x6,96,355808111
bw,8x2x8,128,360400997
bw,8x4x16,512,237255789
bw,8x4x2,64,203263069
bw,8x4x4,128,208136650
bw,8x4x6,192,213511676
bw,8x4x8,256,217840301
bw,8x8x10,640,165180940
bw,8x8x12,768,167712940
bw,8x8x14,896,170244940
bw,8x8x16,1024,172813218
bw,8x8x2,128,155089218
bw,8x8x4,256,157621218
bw,8x8x8,512,162685218
lat,10x16x10,1600,24781413
lat,10x16x12,1920,24810461
lat,10x16x4,640,24990989
lat,10x16x6,960,24723317
lat,10x16x8,1280,25049085
lat,10x2x10,200,5575981
lat,10x2x12,240,4709449
lat,10x2x2,40,6270772
lat,10x2x4,80,6384762
lat,10x2x6,120,5717859
lat,10x2x8,160,6512169
lat,10x4x14,560,6144158
lat,10x4x16,640,6224703
lat,10x4x2,80,7113215
lat,10x4x4,160,7147910
lat,10x4x6,240,6758367
lat,10x8x10,800,10653169
lat,10x8x12,960,10687121
lat,10x8x14,1120,10721073
lat,10x8x16,1280,10877355
lat,10x8x2,160,10740464
lat,10x8x8,640,10842320
lat,12x16x10,1920,24829644
lat,12x16x4,768,25039780
lat,12x16x6,1152,24771868
lat,12x16x8,1536,25097556
lat,12x2x10,240,5933600
lat,12x2x2,48,6847167
lat,12x2x4,96,6910507
lat,12x2x6,144,6102093
lat,12x2x8,192,7037046
lat,12x4x12,576,6714825
lat,12x4x14,672,6295695
lat,12x4x16,768,6334441
lat,12x4x2,96,7672619
lat,12x4x4,192,7706434
lat,12x8x10,960,12053320
lat,12x8x12,1152,12085736
lat,12x8x14,1344,12118152
lat,12x8x16,1536,12310879
lat,12x8x2,192,12159435
lat,12x8x6,576,11988776
lat,12x8x8,768,12257867
lat,14x16x4,896,23194228
lat,14x16x6,1344,22926116
lat,14x16x8,1792,23251732
lat,14x2x2,56,7320422
lat,14x2x4,112,7350520
lat,14x2x6,168,6481213
lat,14x2x8,224,7447770
lat,14x4x10,560,7296265
lat,14x4x12,672,6698059
lat,14x4x14,784,6099853
lat,14x4x16,896,6080005
lat,14x4x2,112,7998252
lat,14x4x4,224,8023216
lat,14x8x10,1120,10039171
lat,14x8x12,1344,10008398
lat,14x8x14,1568,9978213
lat,14x8x16,1792,10243903
lat,14x8x2,224,10353937
lat,14x8x6,672,10023632
lat,14x8x8,896,10427543
lat,16x16x2,512,20330162
lat,16x16x4,1024,20358850
lat,16x16x6,1536,20090642
lat,16x16x8,2048,20416226
lat,16x2x16,512,3707059
lat,16x2x2,64,7737368
lat,16x2x4,128,7766426
lat,16x2x6,192,6789337
lat,16x2x8,256,7825613
lat,16x4x10,640,7247359
lat,16x4x12,768,6474965
lat,16x4x14,896,5702571
lat,16x4x16,1024,5630341
lat,16x4x2,128,8140477
lat,16x4x4,256,8157423
lat,16x4x8,512,8192340
lat,16x8x10,1280,10445993
lat,16x8x12,1536,10287953
lat,16x8x14,1792,10129913
lat,16x8x16,2048,10364984
lat,16x8x2,256,10890424
lat,16x8x4,512,10907936
lat,16x8x6,768,10443381
lat,16x8x8,1024,10945814
lat,1x1x1,1,687376
lat,2x16x16,512,20579488
lat,2x16x2,64,20348460
lat,2x16x4,128,20381464
lat,2x16x6,192,20119700
lat,2x16x8,256,20447472
lat,2x2x10,40,3997709
lat,2x2x12,48,3733223
lat,2x2x14,56,3468737
lat,2x2x16,64,3509129
lat,2x2x2,8,3998919
lat,2x2x4,16,4127183
lat,2x2x6,24,3954263
lat,2x2x8,32,4244132
lat,2x4x10,80,4988682
