failure_count,seed,wall_time_cycles,comm_time_cycles,gpu_time_cycles,overlap_cycles,protocol_transfers
0,1,2243467108,1767336047,820018338,343887277,56
0,2,2243467108,1767336047,820018338,343887277,
0,3,2243467108,1767336047,820018338,343887277,56
0,4,2243467108,1767336047,820018338,343887277,
0,5,2243467108,1767336047,820018338,343887277,56
1,1,2655429638,2179487000,820018338,344075700,63
1,2,5165103101,4689184242,820018338,344099479,63
1,3,3255172698,2779253839,820018338,344099479,63
1,4,2708755207,2232724384,820018338,343987515,63
1,5,3255172698,2779253839,820018338,344099479,63
2,1,2795417673,2319457799,820018338,344058464,70
2,2,5310959830,4835040971,820018338,344099479,70
2,3,3320849148,2844930289,820018338,344099479,70
2,4,2824903508,2348952195,820018338,344067025,70
2,5,3325041633,2849101416,820018338,344078121,70
3,1,5948441109,5472522250,820018338,344099479,77
3,2,6060681780,5584762921,820018338,344099479,77
3,3,3370861747,2894929508,820018338,344086099,77
3,4,4108754860,3632836001,820018338,344099479,77
3,5,6060329765,5584383260,820018338,344071833,77
4,1,6144748026,5668829167,820018338,344099479,84
4,2,6078289460,5602370601,820018338,344099479,84
4,3,6075106860,5599160355,820018338,344071833,84
4,4,5391155677,4915236818,820018338,344099479,84
4,5,6317559279,5841618412,820018338,344077471,84
5,1,6928524539,6452605680,820018338,344099479,91
5,2,6097882564,5621963705,820018338,344099479,91
5,3,7439201658,6963268279,820018338,344084959,91
5,4,7847356200,7371437341,820018338,344099479,91
5,5,11229728661,10753779033,820018338,344068710,91
6,1,9812947201,9337028342,820018338,344099479,98
6,2,9939419289,9463500430,820018338,344099479,98
6,3,11248627468,10772686601,820018338,344077471,98
6,4,10807252455,10331333596,820018338,344099479,98
6,5,14683668259,14207749400,820018338,344099479,98
7,1,14945867603,14469948744,820018338,344099479,105
7,2,14668547503,14192628644,820018338,344099479,105
7,3,15719556587,15243637728,820018338,344099479,105
7,4,12346977598,11871039309,820018338,344080049,105
7,5,14812035580,14336116721,820018338,344099479,105
